date,establishment,amount,category
2025-09-13,Drogaria São Paulo,119.66,Drugstore
2025-10-15,99Pop,15.06,Transportation
2025-09-09,Cinema Lumière,196.69,Entertainment
2025-08-28,Jaú Serve,116.27,Supermarket
2025-08-31,Onibus Urbano,29.39,Transportation
2025-07-31,Drogaria São Paulo,287.98,Drugstore
2025-08-02,Jaú Serve,229.93,Supermarket
2025-10-22,Padaria Central,33.28,Others
2025-08-10,Uber,265.16,Transportation
2025-09-28,Restaurante do Zé,71.75,Others
2025-07-28,Onibus Urbano,43.85,Transportation
2025-09-02,Padaria Central,201.78,Others
2025-08-30,Padaria Central,113.6,Others
2025-09-23,Uber,96.63,Transportation
2025-07-24,Padaria Central,18.74,Others
2025-10-11,Posto Shell,116.76,Others
2025-10-13,Padaria Central,249.01,Others
2025-07-27,Farmacia Droga Raia,284.04,Drugstore
2025-08-13,Drogaria São Paulo,153.55,Drugstore
2025-09-06,Onibus Urbano,179.05,Transportation
2025-07-26,Restaurante do Zé,228.91,Others
2025-08-26,Padaria Central,175.68,Others
2025-07-27,Drogaria São Paulo,286.12,Drugstore
2025-10-01,Cinema Lumière,154.02,Entertainment
2025-10-05,Padaria Central,227.49,Others
2025-08-01,Restaurante do Zé,201.85,Others
2025-09-24,99Pop,238.44,Transportation
2025-09-07,Cinema Lumière,182.7,Entertainment
2025-08-15,Uber,238.76,Transportation
2025-10-01,Restaurante do Zé,264.13,Others
2025-10-05,Cinema Lumière,66.84,Entertainment
2025-10-21,Padaria Central,180.45,Others
2025-09-21,Farmacia Droga Raia,235.41,Drugstore
2025-10-11,99Pop,285.8,Transportation
2025-10-10,Savegnago,262.04,Supermarket
2025-08-17,Padaria Central,72.08,Others
2025-09-27,Farmacia Droga Raia,154.83,Drugstore
2025-09-20,99Pop,78.36,Transportation
2025-10-01,Savegnago,36.79,Supermarket
2025-10-13,Drogaria São Paulo,127.79,Drugstore
2025-07-28,99Pop,249.68,Transportation
2025-10-03,Padaria Central,294.67,Others
2025-09-25,Onibus Urbano,165.7,Transportation
2025-09-11,Drogaria São Paulo,293.3,Drugstore
2025-09-18,Farmacia Droga Raia,35.27,Drugstore
2025-07-27,Onibus Urbano,240.08,Transportation
2025-10-05,Cinema Lumière,276.2,Entertainment
2025-10-10,Posto Shell,181.24,Others
2025-09-10,Uber,29.27,Transportation
2025-10-08,Farmacia Droga Raia,207.26,Drugstore
2025-09-20,Posto Shell,265.64,Others
2025-10-06,Padaria Central,182.14,Others
2025-09-16,Drogaria São Paulo,110.1,Drugstore
2025-08-23,Padaria Central,166.43,Others
2025-10-18,Restaurante do Zé,197.72,Others
2025-08-29,Restaurante do Zé,37.03,Others
2025-08-19,Farmacia Droga Raia,128.82,Drugstore
2025-10-03,99Pop,131.91,Transportation
2025-08-23,Onibus Urbano,72.23,Transportation
2025-10-03,Posto Shell,22.69,Others
2025-08-20,99Pop,15.92,Transportation
2025-09-04,Farmacia Droga Raia,278.67,Drugstore
2025-08-21,Farmacia Droga Raia,49.22,Drugstore
2025-08-07,Jaú Serve,261.65,Supermarket
2025-09-28,Uber,164.48,Transportation
2025-09-08,Jaú Serve,291.6,Supermarket
2025-09-12,Cinema Lumière,234.55,Entertainment
2025-10-05,Restaurante do Zé,137.91,Others
2025-09-20,Padaria Central,199.87,Others
2025-09-12,Onibus Urbano,296.89,Transportation
2025-09-30,Restaurante do Zé,199.32,Others
2025-10-08,Savegnago,63.08,Supermarket
2025-10-01,Uber,158.79,Transportation
2025-10-21,Farmacia Droga Raia,219.08,Drugstore
2025-09-03,Padaria Central,61.03,Others
2025-09-10,Padaria Central,61.41,Others
2025-07-28,Savegnago,158.36,Supermarket
2025-09-07,Savegnago,86.37,Supermarket
2025-08-08,Onibus Urbano,212.54,Transportation
2025-08-13,Uber,296.77,Transportation
2025-09-06,Drogaria São Paulo,15.27,Drugstore
2025-08-27,Drogaria São Paulo,64.44,Drugstore
2025-08-25,Cinema Lumière,260.09,Entertainment
2025-08-11,Uber,32.4,Transportation
2025-09-14,Onibus Urbano,261.3,Transportation
2025-08-04,Savegnago,183.24,Supermarket
2025-08-08,Farmacia Droga Raia,32.04,Drugstore
2025-08-13,99Pop,111.82,Transportation
2025-08-20,Restaurante do Zé,146.6,Others
2025-10-06,Cinema Lumière,33.17,Entertainment
2025-10-03,Drogaria São Paulo,44.37,Drugstore
2025-08-19,Uber,202.2,Transportation
2025-08-04,Jaú Serve,237.12,Supermarket
2025-09-03,Uber,115.47,Transportation
2025-09-01,Drogaria São Paulo,49.16,Drugstore
2025-08-04,Drogaria São Paulo,117.95,Drugstore
2025-10-22,Posto Shell,73.89,Others
2025-09-25,Cinema Lumière,285.0,Entertainment
2025-08-27,Savegnago,291.51,Supermarket
2025-09-22,Restaurante do Zé,161.43,Others
2025-10-06,99Pop,203.48,Transportation
2025-08-05,Cinema Lumière,281.14,Entertainment
2025-09-20,99Pop,50.62,Transportation
2025-10-17,Restaurante do Zé,226.03,Others
2025-10-03,99Pop,244.64,Transportation
2025-08-02,Padaria Central,208.72,Others
2025-08-17,Uber,191.86,Transportation
2025-07-31,Savegnago,155.97,Supermarket
2025-08-27,Uber,283.85,Transportation
2025-08-27,99Pop,152.38,Transportation
2025-08-11,Drogaria São Paulo,248.94,Drugstore
2025-07-28,Cinema Lumière,98.38,Entertainment
2025-09-03,Onibus Urbano,270.71,Transportation
2025-08-22,Drogaria São Paulo,188.94,Drugstore
2025-08-28,Jaú Serve,105.05,Supermarket
2025-07-30,Restaurante do Zé,230.13,Others
2025-10-21,99Pop,200.81,Transportation
2025-07-26,99Pop,50.08,Transportation
2025-08-17,Onibus Urbano,104.28,Transportation
2025-09-01,Onibus Urbano,67.09,Transportation
2025-08-08,Posto Shell,290.13,Others
2025-10-18,Uber,39.97,Transportation
2025-08-10,Uber,211.55,Transportation
2025-09-05,Padaria Central,226.98,Others
2025-08-27,Drogaria São Paulo,149.79,Drugstore
2025-08-01,Savegnago,240.56,Supermarket
2025-09-12,Drogaria São Paulo,135.72,Drugstore
2025-08-24,Restaurante do Zé,9.2,Others
2025-09-22,Posto Shell,235.69,Others
2025-10-06,Cinema Lumière,66.73,Entertainment
2025-09-09,Drogaria São Paulo,182.59,Drugstore
2025-09-24,Savegnago,280.53,Supermarket
2025-10-13,Cinema Lumière,176.56,Entertainment
2025-10-11,Padaria Central,225.95,Others
2025-07-27,Posto Shell,230.57,Others
2025-09-30,Onibus Urbano,251.78,Transportation
2025-09-14,Cinema Lumière,254.09,Entertainment
2025-09-21,Cinema Lumière,59.66,Entertainment
2025-10-14,Cinema Lumière,200.49,Entertainment
